"Identificador do processo de viagem";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000015758860";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"1765,48"
"0000000000015758873";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170178";"DELEGACIA DA RFB EM CAXIAS DO SUL";"DIÁRIAS                       ";"380,04"
"0000000000015758981";"26000";"MINISTERIO DA EDUCACAO";"26449";"UNIVERSIDADE FEDERAL DO CARIRI";"158719";"UNIVERSIDADE FEDERAL DO CARIRI";"PASSAGEM                      ";"508,99"
"0000000000015760480";"20000";"PRESIDENCIA DA REPUBLICA";"20101";"PRESIDENCIA DA REPUBLICA";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"PASSAGEM                      ";"1634,17"
"0000000000015760480";"20000";"PRESIDENCIA DA REPUBLICA";"20101";"PRESIDENCIA DA REPUBLICA";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"PASSAGEM                      ";"967,39"
"0000000000015760503";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"839,17"
"0000000000015760503";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"608,39"
"0000000000015760906";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"1736,16"
"0000000000015760906";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"1579,39"
"0000000000015761119";"32000";"MINISTERIO DE MINAS E ENERGIA";"32000";"MINISTERIO DE MINAS E ENERGIA - UNIDADES COM VÍNCULO DIRETO";"320004";"COORDENACAO GERAL DE RECURSOS LOGISTICOS-CGRL";"PASSAGEM                      ";"1646,17"
"0000000000015761119";"32000";"MINISTERIO DE MINAS E ENERGIA";"32000";"MINISTERIO DE MINAS E ENERGIA - UNIDADES COM VÍNCULO DIRETO";"320004";"COORDENACAO GERAL DE RECURSOS LOGISTICOS-CGRL";"PASSAGEM                      ";"170,00"
"0000000000015761119";"32000";"MINISTERIO DE MINAS E ENERGIA";"32000";"MINISTERIO DE MINAS E ENERGIA - UNIDADES COM VÍNCULO DIRETO";"320004";"COORDENACAO GERAL DE RECURSOS LOGISTICOS-CGRL";"PASSAGEM                      ";"1887,39"
"0000000000015761214";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"839,00"
"0000000000015761214";"32000";"MINISTERIO DE MINAS E ENERGIA";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM                      ";"1030,17"
"0000000000015761281";"55000";"MINISTERIO DA CIDADANIA";"20411";"INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL";"343026";"IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA";"PASSAGEM                      ";"1469,17"
"0000000000015761388";"36000";"MINISTERIO DA SAUDE";"36201";"FUNDACAO OSWALDO CRUZ";"254420";"FUNDAÇÃO OSWALDO CRUZ";"PASSAGEM                      ";"1588,46"
"0000000000015761388";"36000";"MINISTERIO DA SAUDE";"36201";"FUNDACAO OSWALDO CRUZ";"254420";"FUNDAÇÃO OSWALDO CRUZ";"PASSAGEM                      ";"1593,38"
"0000000000015761433";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"PASSAGEM                      ";"468,20"
"0000000000015761433";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"PASSAGEM                      ";"711,23"
"0000000000015761806";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"PASSAGEM                      ";"978,39"
"0000000000015761806";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"PASSAGEM                      ";"870,27"
"0000000000015762340";"36000";"MINISTERIO DA SAUDE";"36212";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"253002";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"PASSAGEM                      ";"1579,39"
"0000000000015762340";"36000";"MINISTERIO DA SAUDE";"36212";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"253002";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"PASSAGEM                      ";"890,27"
"0000000000015762552";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170078";"SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"PASSAGEM                      ";"197,98"
"0000000000015762850";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"280101";"COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"PASSAGEM                      ";"1896,17"
"0000000000015763247";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"PASSAGEM                      ";"1376,39"
"0000000000015763386";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"844,91"
"0000000000015763386";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"757,49"
"0000000000015763719";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"1319,98"
"0000000000015763719";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"750,39"
"0000000000015763764";"26000";"MINISTERIO DA EDUCACAO";"26274";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"154043";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"PASSAGEM                      ";"983,39"
"0000000000015763764";"26000";"MINISTERIO DA EDUCACAO";"26274";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"154043";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"PASSAGEM                      ";"894,57"
"0000000000015763885";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"1431,08"
"0000000000015763893";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"1802,92"
"0000000000015764157";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"PASSAGEM                      ";"637,17"
"0000000000015764157";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"PASSAGEM                      ";"869,25"
"0000000000015764324";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"903,05"
"0000000000015764324";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"250110";"COORDENACAO-GERAL DE MATERIAL E PATRIMONIO";"PASSAGEM                      ";"614,30"
"0000000000015764324";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"257002";"SECRETARIA DE VIGILANCIA EM SAUDE";"DIÁRIAS                       ";"431,30"
"0000000000015764381";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"DIÁRIAS                       ";"67,68"
"0000000000015764411";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170148";"ALFANDEGA DA RFB AEROP.INTERNAC.DE VIRACOPOS";"DIÁRIAS                       ";"186,28"
"0000000000015764503";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170094";"DELEGACIA DA RFB EM VARGINHA";"DIÁRIAS                       ";"692,40"
"0000000000015764670";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"PASSAGEM                      ";"3403,56"
"0000000000015764670";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"DIÁRIAS                       ";"139,73"
"0000000000015764702";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"DIÁRIAS                       ";"208,13"
"0000000000015764702";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"PASSAGEM                      ";"3403,56"
