"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000015753854";"Aéreo";"Brasil";"Minas Gerais";"Confins";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"348,62";",00"
"0000000000015753854";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Minas Gerais";"Confins";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"171,98";",00"
"0000000000015754067";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"3226,64";",00"
"0000000000015755689";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1235,91";",00"
"0000000000015755689";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1234,13";",00"
"0000000000015755689";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"998,42";",00"
"0000000000015755875";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2003,46";",00"
"0000000000015755875";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1579,39";",00"
"0000000000015756136";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"2864,44";",00"
"0000000000015756631";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"281,39";",00"
"0000000000015756631";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"367,05";",00"
"0000000000015756820";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Roraima";"Boa Vista";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1929,39";",00"
"0000000000015756957";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Roraima";"Boa Vista";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1929,39";",00"
"0000000000015757008";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2003,46";",00"
"0000000000015757008";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1734,38";",00"
"0000000000015757008";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2001,68";",00"
"0000000000015757008";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1751,17";",00"
"0000000000015757008";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"4005,14";",00"
"0000000000015757397";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Roraima";"Boa Vista";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1529,41";",00"
"0000000000015757455";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Roraima";"Boa Vista";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1529,41";",00"
"0000000000015757558";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Roraima";"Boa Vista";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1529,41";",00"
"0000000000015757630";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Alemanha";"";"Berlim";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3279,86";",00"
"0000000000015757941";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Japão";"";"Nagoya";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"12573,49";",00"
"0000000000015758325";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1409,39";",00"
"0000000000015758325";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1106,39";",00"
"0000000000015758325";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1298,39";",00"
"0000000000015758637";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"976,52";",00"
"0000000000015758689";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1134,67";"1,14"
"0000000000015758707";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1220,49";"1,14"
"0000000000015758766";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"2864,44";",00"
"0000000000015758981";"Aéreo";"Brasil";"Ceará";"Juazeiro do Norte";"Brasil";"Ceará";"Fortaleza";"Brasil";"Ceará";"Fortaleza";"Brasil";"Ceará";"Juazeiro do Norte";"508,99";",00"
"0000000000015760480";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1634,17";",00"
"0000000000015760480";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"967,39";",00"
"0000000000015760906";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1736,16";",00"
"0000000000015760906";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1579,39";",00"
"0000000000015761119";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1887,39";"170,00"
"0000000000015761119";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1646,17";",00"
"0000000000015761214";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"839,00";",00"
"0000000000015761214";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1030,17";",00"
"0000000000015761281";"Aéreo";"Brasil";"Maranhão";"São Luís";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1469,17";",00"
"0000000000015761388";"Aéreo";"Brasil";"Paraná";"Londrina";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1588,46";",00"
"0000000000015761388";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Paraná";"Londrina";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1593,38";",00"
"0000000000015761433";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"711,23";",00"
"0000000000015761433";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"468,20";",00"
"0000000000015761806";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"978,39";",00"
"0000000000015761806";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"870,27";",00"
"0000000000015762340";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1579,39";",00"
"0000000000015762340";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"890,27";",00"
"0000000000015762552";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"197,49";",49"
"0000000000015762850";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1896,17";",00"
"0000000000015763247";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pará";"Belém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1376,39";",00"
"0000000000015763386";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"757,49";",00"
